year,month,total,minimum,maximum
2000,11,0.00,0.00,0.00
2000,12,554.00,0.00,178.00
2001,1,329.00,0.00,118.00
2001,2,1106.00,0.00,188.00
2001,3,250.00,0.00,56.00
2001,4,319.00,0.00,96.00
2001,5,7.00,0.00,4.00
2001,6,180.00,0.00,23.00
2001,7,4.00,0.00,3.00
2001,8,21.00,0.00,8.00
2001,9,56.00,0.00,21.00
2001,10,28.00,0.00,13.00
2001,11,136.00,0.00,70.00
2001,12,61.00,0.00,39.00
2002,1,184.00,0.00,40.00
2002,2,31.00,0.00,20.00
2002,3,63.00,0.00,10.00
2002,4,210.00,0.00,41.00
2002,5,125.00,0.00,24.00
2002,6,1.00,0.00,1.00
2002,7,0.00,0.00,0.00
2002,8,0.00,0.00,0.00
2002,9,11.00,0.00,11.00
2002,10,0.00,0.00,0.00
2002,11,25.00,0.00,8.00
2002,12,197.00,0.00,123.00
2003,1,392.00,0.00,192.00
2003,2,236.00,0.00,42.00
2003,3,217.00,0.00,81.00
2003,4,261.00,0.00,109.00
2003,5,175.00,0.00,43.00
2003,6,89.00,0.00,29.00
2003,7,86.00,0.00,19.00
2003,8,35.00,0.00,13.00
2003,9,8.00,0.00,4.00
2003,10,7.00,0.00,4.00
2003,11,45.00,0.00,16.00
2003,12,284.00,0.00,53.00
2004,1,332.00,0.00,128.00
2004,2,767.00,0.00,142.00
2004,3,1249.00,0.00,256.00
2004,4,451.00,0.00,106.00
2004,5,70.00,0.00,25.00
2004,6,86.00,0.00,26.00
2004,7,100.00,0.00,38.00
2004,8,4.00,0.00,1.00
2004,9,33.00,0.00,16.00
2004,10,36.00,0.00,16.00
2004,11,84.00,0.00,40.00
2004,12,188.00,0.00,76.00
2005,1,517.00,0.00,125.00
2005,2,248.60,0.00,127.00
2005,3,516.00,0.00,324.00
2005,4,311.00,0.00,51.00
2005,5,38.00,0.00,12.00
2005,6,77.00,0.00,18.00
2005,7,175.00,0.00,38.00
2005,8,149.00,0.00,23.00
2005,9,11.00,0.00,7.00
2005,10,15.00,0.00,6.00
2005,11,39.00,0.00,12.00
2005,12,48.00,0.00,27.00
2006,1,504.00,0.00,109.00
2006,2,313.00,0.00,118.00
2006,3,708.00,0.00,165.00
2006,4,861.00,0.00,340.00
2006,5,93.00,0.00,36.00
2006,6,169.00,0.00,69.00
2006,7,145.00,0.00,31.00
2006,8,29.00,0.00,10.00
2006,9,131.00,0.00,54.00
2006,10,145.00,0.00,41.00
2006,11,38.00,0.00,14.00
2006,12,129.00,0.00,25.00
2007,1,282.00,0.00,73.00
2007,2,804.00,0.00,124.00
2007,3,348.00,0.00,117.00
2007,4,121.00,0.00,25.00
2007,5,149.00,0.00,28.00
2007,6,103.00,0.00,30.00
2007,7,45.00,0.00,17.00
2007,8,40.00,0.00,8.00
2007,9,7.00,0.00,3.00
2007,10,89.00,0.00,48.00
2007,11,100.00,0.00,19.00
2007,12,218.00,0.00,80.00
2008,1,581.00,0.00,231.00
2008,2,557.00,0.00,91.00
2008,3,1023.00,0.00,335.00
2008,4,38.00,0.00,14.00
2008,5,85.00,0.00,33.00
2008,6,35.00,0.00,14.00
2008,7,93.00,0.00,31.00
2008,8,6.00,0.00,2.00
2008,9,51.00,0.00,16.00
2008,10,77.00,0.00,28.00
2008,11,121.00,0.00,63.00
2008,12,184.00,0.00,49.00
2009,1,810.00,0.00,164.00
2009,2,527.00,0.00,82.00
2009,3,155.00,0.00,70.00
2009,4,196.00,0.00,57.00
2009,5,133.00,0.00,28.00
2009,6,18.00,0.00,9.00
2009,7,13.00,0.00,5.00
2009,8,9.00,0.00,2.00
2009,9,11.00,0.00,6.00
2009,10,35.00,0.00,21.00
2009,11,249.00,0.00,94.00
2009,12,97.00,0.00,26.00
2010,1,684.00,0.00,119.00
2010,2,280.00,0.00,56.00
2010,3,424.00,0.00,123.00
2010,4,78.00,0.00,29.00
2010,5,51.00,0.00,16.00
2010,6,27.00,0.00,11.00
2010,7,90.00,0.00,24.00
2010,8,105.00,0.00,39.00
2010,9,123.00,0.00,41.00
2010,10,245.00,0.00,41.00
2010,11,208.00,0.00,40.00
2010,12,428.00,0.00,86.00
2011,1,504.00,0.00,116.00
2011,2,867.00,0.00,193.00
2011,3,564.00,0.00,202.00
2011,4,104.00,0.00,22.00
2011,5,27.00,0.00,6.00
2011,6,95.00,0.00,58.00
2011,7,28.00,0.00,8.00
2011,8,28.00,0.00,7.00
2011,9,31.00,0.00,18.00
2011,10,401.00,0.00,195.00
2011,11,129.00,0.00,41.00
2011,12,222.00,0.00,61.00
2012,1,291.00,0.00,86.00
2012,2,321.00,0.00,55.00
2012,3,1129.00,0.00,188.00
2012,4,213.00,0.00,81.00
2012,5,210.00,0.00,109.00
2012,6,47.00,0.00,30.00
2012,7,74.00,0.00,55.00
2012,8,20.00,0.00,7.00
2012,9,16.00,0.00,4.00
2012,10,64.00,0.00,25.00
2012,11,36.00,0.00,12.00
2012,12,35.00,0.00,20.00
2013,1,561.00,0.00,248.00
2013,2,158.00,0.00,35.00
2013,3,350.00,0.00,66.00
2013,4,128.00,0.00,40.00
2013,5,215.00,0.00,54.00
2013,6,35.00,0.00,7.00
2013,7,91.00,0.00,17.00
2013,8,14.00,0.00,5.00
2013,9,66.00,0.00,17.00
2013,10,31.00,0.00,17.00
2013,11,185.00,0.00,36.00
2013,12,90.00,0.00,18.00
2014,1,404.00,0.00,131.00
2014,2,496.00,0.00,63.00
2014,3,372.00,0.00,125.00
2014,4,517.00,0.00,235.00
2014,5,167.00,0.00,48.00
2014,6,124.00,0.00,35.00
2014,7,63.00,0.00,14.00
2014,8,59.00,0.00,17.00
2014,9,6.00,0.00,2.00
2014,10,12.00,0.00,4.00
2014,11,20.00,0.00,9.00
2014,12,65.00,0.00,44.00
2015,1,267.00,0.00,51.00
2015,2,739.00,0.00,297.00
2015,3,312.00,0.00,118.00
2015,4,83.00,0.00,33.00
2015,5,47.00,0.00,12.00
2015,6,222.00,0.00,44.00
2015,7,38.00,0.00,6.00
2015,8,24.00,0.00,13.00
2015,9,30.00,0.00,19.00
2015,10,87.00,0.00,17.00
2015,11,92.00,0.00,17.00
2015,12,358.00,0.00,88.00
2016,1,73.00,0.00,19.00
2016,2,136.00,0.00,35.00
2016,3,212.00,0.00,63.00
2016,4,151.00,0.00,22.00
2016,5,224.00,0.00,117.00
2016,6,102.00,0.00,31.00
2016,7,145.00,0.00,54.00
2016,8,43.00,0.00,9.00
2016,9,75.00,0.00,21.00
2016,10,27.00,0.00,11.00
2016,11,23.00,0.00,9.00
2016,12,158.00,0.00,71.00
2017,1,384.00,0.00,43.00
2017,2,601.00,0.00,159.00
2017,3,224.00,0.00,47.00
2017,4,217.00,0.00,61.00
2017,5,67.00,0.00,16.00
2017,6,54.00,0.00,11.00
2017,7,100.00,0.00,35.00
2017,8,7.00,0.00,2.00
2017,9,61.00,0.00,46.00
2017,10,194.00,0.00,101.00
2017,11,118.00,0.00,29.00
2017,12,40.00,0.00,14.00
2018,1,701.00,0.00,140.00
2018,2,424.00,0.00,160.00
2018,3,1297.00,0.00,244.00
2018,4,64.00,0.00,33.00
2018,5,35.00,0.00,13.00
2018,6,58.00,0.00,14.00
2018,7,45.00,0.00,34.00
2018,8,5.00,0.00,2.00
2018,9,8.00,0.00,2.00
2018,10,23.00,0.00,7.00
2018,11,29.00,0.00,11.00
2018,12,1240.00,0.00,250.00
2019,1,891.00,0.00,219.00
2019,2,432.00,0.00,103.00
2019,3,488.00,0.00,97.00
2019,4,323.00,0.00,122.00
2019,5,127.00,0.00,24.00
2019,6,6.00,0.00,6.00
2019,7,5.00,0.00,2.00
2019,8,38.00,0.00,13.00
2019,9,5.00,0.00,3.00
2019,10,92.00,0.00,39.00
2019,11,6.00,0.00,3.00
2019,12,93.00,0.00,21.00
2020,1,505.00,0.00,159.00
2020,2,342.00,0.00,81.00
2020,3,225.00,0.00,49.00
2020,4,108.00,0.00,41.00
2020,5,204.00,0.00,79.00
2020,6,90.00,0.00,23.00
2020,7,72.00,0.00,40.00
2020,8,24.00,0.00,8.00
2020,9,106.00,0.00,28.00
2020,10,19.00,0.00,6.00
2020,11,103.00,0.00,23.00
2020,12,206.00,0.00,52.00
2021,1,677.00,0.00,210.00
2021,2,270.00,0.00,52.00
2021,3,180.00,0.00,77.00
2021,4,758.00,0.00,173.00
2021,5,88.00,0.00,17.00
2021,6,79.00,0.00,38.00
2021,7,114.00,0.00,67.00
2021,8,49.00,0.00,8.00
2021,9,205.00,0.00,181.00
2021,10,25.00,0.00,13.00
